stop_id,stop_code,stop_name,stop_desc,wheelchair_boarding,stop_lat,stop_lon
11219,11219,B STREET @ IOWA WB,FAR SIDE B STREET @ IOWA WB,2,38.518299,-89.969933
11221,11221,B STREET @ PENNSYLVANIA WB,FAR SIDE B STREET @ PENNSYLVANIA WB,2,38.516356,-89.972726
11892,11892,WEBER @ OFALLON HIGH SCHOOL REAR ENTRANCE SB,MID-BLOCK WEBER @ OFALLON HIGH SCHOOL REAR ENTRANCE SB,2,38.585421,-89.898576
12261,12261,ILLINOIS ROUTE 157 @ WASHINGTON SB,NEAR SIDE ILLINOIS ROUTE 157 @ WASHINGTON SB,2,38.590059,-90.059013
10130,10130,HALLS FERRY @ IBIS COURT SB,NEAR SIDE HALLS FERRY @ IBIS COURT SB,2,38.760815,-90.257834
12489,12489,BUNKUM @ 40TH STREET EB,FAR SIDE BUNKUM @ 40TH STREET EB,,38.623431,-90.108238
12866,12866,WILFORD @ G STREET WB,NEAR SIDE WILFORD @ G STREET WB,2,38.601048,-90.158717
13001,13001,CAMP JACKSON @ CALVIN EB,NEAR SIDE CAMP JACKSON @ CALVIN EB,2,38.549796,-90.129441
13880,13880,GILBERT @ CASEYVILLE WB,FAR SIDE GILBERT @ CASEYVILLE WB,2,38.524938,-89.989662
11839,11839,COMMERCE @ VATTEROTT COLLEGE NB,MID-BLOCK COMMERCE @ VATTEROTT COLLEGE NB,,38.597599,-89.990251
15477,15477,SOUTH @ BUILDING #700 WB,FAR SIDE SOUTH @ BUILDING #700 WB,2,38.533951,-89.852491
16059,16059,ILLINOIS @ ROUND HILL NB,FAR SIDE ILLINOIS @ ROUND HILL NB,2,38.557985,-89.984586
13427,13427,PERSHING @ DEBALIVIERE EB,FAR SIDE PERSHING @ DEBALIVIERE EB,1,38.648584,-90.284775
15970,15970,NATURAL BRIDGE @ KINGSHIGHWAY WB,FAR SIDE NATURAL BRIDGE @ KINGSHIGHWAY WB,1,38.676769,-90.252619
13567,13567,NORTH HANLEY @ AIRPORT NB,NEAR SIDE NORTH HANLEY @ AIRPORT NB,1,38.749274,-90.334935
16393,16393,DUNN @ HAZELCREST WB,NEAR SIDE DUNN @ HAZELCREST WB,2,38.776572,-90.340514
3162,3162,OLIVE @ NORTH AND SOUTH EB,NEAR SIDE OLIVE @ NORTH AND SOUTH EB,1,38.672181,-90.336569
15909,15909,MARYBELL @ GOELZ EB,NEAR SIDE MARYBELL @ GOELZ EB,2,38.595503,-90.060591
3620,3620,CHAMBERS @ WEST FLORISSANT WB,NEAR SIDE CHAMBERS @ WEST FLORISSANT WB,1,38.749495,-90.278882
12396,12396,FOREST @ 60TH STREET WB,NEAR SIDE FOREST @ 60TH STREET WB,,38.636968,-90.085935
12871,12871,16TH STREET @ CENTRAL NB,NEAR SIDE 16TH STREET @ CENTRAL NB,,38.605463,-90.161052
13570,13570,MANCHESTER @ MCCAUSLAND EB,FAR SIDE MANCHESTER @ MCCAUSLAND EB,1,38.616722,-90.308407
11548,11548,ILLINOIS ROUTE 157 @ TUCKER NB,FAR SIDE ILLINOIS ROUTE 157 @ TUCKER NB,2,38.611161,-90.047564
2512,2512,PAGE @ EUCLID EB,FAR SIDE PAGE @ EUCLID EB,1,38.659569,-90.259010
3696,3696,WEST FLORISSANT @ KEELEN SB,FAR SIDE WEST FLORISSANT @ KEELEN SB,1,38.763187,-90.280036
14433,14433,GRAND @ HISTORY MUSEUM NB,NEAR SIDE GRAND @ HISTORY MUSEUM NB,1,38.644122,-90.285595
16183,16183,PAGE @ SKINKER WB,FAR SIDE PAGE @ SKINKER WB,2,38.671119,-90.290930
15758,15758,14561 NORTH OUTER FORTY WB,MID-BLOCK 14561 NORTH OUTER FORTY WB,2,38.647728,-90.533884
11137,11137,1820 B STREET EB,MID-BLOCK 1820 B STREET EB,2,38.523659,-89.962194
14977,14977,MACKENZIE @ RHODES SB,FAR SIDE MACKENZIE @ RHODES SB,2,38.581250,-90.318421
11369,11369,F STREET @ 1ST STREET WB,NEAR SIDE F STREET @ 1ST STREET WB,2,38.519979,-89.985422
12278,12278,1637 MAIN SB,MID-BLOCK 1637 MAIN SB,2,38.539584,-90.200795
12369,12369,MAIN @ 2ND STREET NB,FAR SIDE MAIN @ 2ND STREET NB,2,38.518078,-90.210882
12351,12351,MAIN @ CHERRY WB,NEAR SIDE MAIN @ CHERRY WB,2,38.442221,-90.198178
10079,10079,CLAYTON @ CLAYHEATH COURT WB,NEAR SIDE CLAYTON @ CLAYHEATH COURT WB,1,38.608458,-90.567140
9834,9834,NEW BALLWIN @ OLD BALDWIN NB,NEAR SIDE NEW BALLWIN @ OLD BALDWIN NB,2,38.582139,-90.557673
